cheese,milk,type,texture,url
baskeriu,sheep,semi-soft,"dry, smooth",https://www.cheese.com/baskeriu/
basket_cheese,cow,"soft, semi-soft","chewy, supple",https://www.cheese.com/basket-cheese/
basket_molded_ricotta,cow,fresh firm,firm,https://www.cheese.com/basket-molded-ricotta/
bassigny_au_porto,cow,semi-soft,mystery texture,https://www.cheese.com/bassigny-au-porto/
bath_blue,cow,"soft, artisan, blue-veined","creamy, smooth",https://www.cheese.com/bath-blue/
bath_soft_cheese,cow,soft,creamy,https://www.cheese.com/bath-soft/
bath_soft_cheese_truffled,cow,soft,"buttery, soft-ripened",https://www.cheese.com/bath-soft-cheese-truffled/
batzos,"goat, sheep",semi-hard,dry,https://www.cheese.com/batzos/
bavaria_blu,cow,"soft, blue-veined","creamy, soft",https://www.cheese.com/bavaria-blu/
bavarian_bergkase,cow,"hard, artisan","crumbly, firm, open",https://www.cheese.com/bavarian-bergkase/
bayley_hazen_blue,cow,"semi-hard, artisan, blue-veined","creamy, dense, firm",https://www.cheese.com/bayley-hazen-blue/
baylough,cow,"hard, artisan","close, firm",https://www.cheese.com/baylough/
beach_box_brie,cow,artisan,creamy,https://www.cheese.com/beach-box-brie/
bear_hill,sheep,"semi-hard, smear-ripened",smooth,https://www.cheese.com/bear-hill/
beaufort,cow,semi-firm,"creamy, smooth",https://www.cheese.com/beaufort/
beaumont,cow,semi-soft,"creamy, smooth",https://www.cheese.com/beaumont/
beauvale,cow,"soft, blue-veined","creamy, smooth",https://www.cheese.com/beauvale/
beauvoorde,cow,semi-hard,"creamy, firm",https://www.cheese.com/beauvoorde/
beehive_fresh,cow,"fresh soft, artisan","buttery, soft",https://www.cheese.com/beehive-fresh/
beemster_2%_milk,cow,semi-soft,smooth,https://www.cheese.com/beemster-2-milk/
beemster_aged,cow,hard,"crystalline, firm, smooth",https://www.cheese.com/beemster-aged/
beemster_classic,cow,semi-hard,"creamy, firm, smooth",https://www.cheese.com/beemster-classic/
beemster_extra_aged_(xo),cow,hard,"brittle, crumbly, grainy",https://www.cheese.com/beemster-extra-aged/
beemster_graskaas,cow,semi-hard,"creamy, open, smooth",https://www.cheese.com/beemster-graskaas/
beenleigh_blue,sheep,"soft, blue-veined",smooth,https://www.cheese.com/beenleigh-blue/
bega_processed_cheddar,cow,soft,"creamy, smooth",https://www.cheese.com/bega-processed-cheddar/
bel_ceillo,cow,"semi-hard, artisan","creamy, crumbly",https://www.cheese.com/bel-ceillo/
bel_paese,cow,semi-soft,"creamy, smooth",https://www.cheese.com/bel-paese/
bella_lodi,cow,"hard, artisan","crumbly, flaky, grainy",https://www.cheese.com/bella-lodi/
belle_creme,cow,"soft, soft-ripened","buttery, creamy, smooth, soft-ripened",https://www.cheese.com/belle-creme/
belletoile,cow,"soft, soft-ripened",creamy,https://www.cheese.com/belletoile/
bellwether_farms_crescenza,cow,"soft, artisan","buttery, soft-ripened, spreadable",https://www.cheese.com/bellwether-farms-crescenza/
benedictine,"cow, goat, sheep","semi-hard, artisan",creamy,https://www.cheese.com/benedictine/
bent_river,cow,"soft, artisan, soft-ripened","smooth, soft",https://www.cheese.com/bent-river/
bergader,cow,mystery type,mystery texture,https://www.cheese.com/bergader/
bergere_bleue,sheep,"semi-soft, artisan, blue-veined","creamy, crumbly, smooth",https://www.cheese.com/bergere-bleue/
bergues,cow,semi-hard,smooth,https://www.cheese.com/bergues/
berkswell,sheep,hard,"chewy, firm",https://www.cheese.com/berkswell/
bermondsey_hard_pressed,cow,"hard, artisan","creamy, crumbly, open",https://www.cheese.com/bermondsey-hard-pressed/
bermuda_triangle,goat,"semi-soft, soft-ripened","creamy, crumbly, dense, firm, smooth",https://www.cheese.com/bermuda-triangle/
bethmale_des_pyrenees,cow,semi-hard,mystery texture,https://www.cheese.com/bethmale-des-pyrenees/
bettine_bleu,goat,semi-hard,mystery texture,https://www.cheese.com/bettine-bleu/
bettine_grand_cru,goat,semi-hard,mystery texture,https://www.cheese.com/bettine-grand-cru/
beyaz_peynir,"cow, goat, sheep","semi-soft, brined",mystery texture,https://www.cheese.com/beyaz-peynir/
bianca,"goat, sheep","fresh soft, artisan","soft, spreadable",https://www.cheese.com/bianca/
bianco,cow,semi-hard,"creamy, open, soft",https://www.cheese.com/bianco/
bica_de_queijo,"cow, goat, sheep","semi-soft, artisan","creamy, firm, smooth, springy",https://www.cheese.com/bica-de-queijo/
bierkase,cow,"semi-soft, smear-ripened",smooth,https://www.cheese.com/bierkase/
big_john_s_cajun,cow,"hard, artisan","creamy, smooth",https://www.cheese.com/big-johns-cajun/
big_rock_blue,cow,"semi-firm, artisan, blue-veined","buttery, crumbly",https://www.cheese.com/big-rock-blue/
big_woods_blue,sheep,"semi-hard, blue-veined",firm,https://www.cheese.com/big-woods-blue/
bijou,goat,"semi-soft, artisan","creamy, smooth",https://www.cheese.com/bijou/
binnorie_marinated_fetta,cow,"soft, brined",creamy,https://www.cheese.com/binnorie-marinated-fetta/
bishop_kennedy,cow,soft,smooth,https://www.cheese.com/bishop-kennedy/
bismark,sheep,"semi-hard, artisan","crumbly, firm",https://www.cheese.com/bismark/
bix,cow,"soft, semi-soft","buttery, creamy, soft, soft-ripened",https://www.cheese.com/bix/
black_betty,goat,"hard, artisan",firm,https://www.cheese.com/black-betty/
black_bomber_cheddar,cow,hard,"buttery, compact, creamy, crumbly",https://www.cheese.com/black-bomber-cheddar/
black_pearl,goat,"semi-hard, artisan",firm,https://www.cheese.com/black-pearl/
blackmount,goat,soft,creamy,https://www.cheese.com/blackmount/
blacksticks_blue,cow,"soft, blue-veined","creamy, spreadable",https://www.cheese.com/blacksticks-blue/
blaenafon_pwll_ddu,cow,hard,compact,https://www.cheese.com/blaenafon-pwll-ddu/
blarney_castle,cow,semi-soft,creamy,https://www.cheese.com/blarney-castle/
blenda,"cow, sheep","hard, artisan",mystery texture,https://www.cheese.com/blenda/
bleu_bénédictin,cow,"semi-soft, artisan, blue-veined","creamy, crumbly, firm",https://www.cheese.com/bleu-benedictin/
bleu_d_auvergne,cow,"semi-soft, artisan","creamy, smooth",https://www.cheese.com/bleu-dauvergne/
bleu_de_laqueuille,cow,"soft, blue-veined","creamy, smooth",https://www.cheese.com/bleu-de-laqueuille/
bleu_des_causses,cow,"semi-soft, blue-veined",creamy,https://www.cheese.com/bleu-des-causses/
bleu_l_ermite,cow,"semi-soft, artisan, blue-veined","creamy, crumbly",https://www.cheese.com/bleu-lermite/
bleu_mont_dairy_bandaged_cheddar,cow,"hard, artisan","crumbly, crystalline, flaky",https://www.cheese.com/bleu-mont-dairy-bandaged-cheddar/
bleubry,cow,"soft, blue-veined","creamy, smooth, supple",https://www.cheese.com/bleubry/
blissful_blocks,mystery animal,hard,"creamy, crumbly",https://www.cheese.com/blissful-blocks/
blissful_toppings,mystery animal,soft,crumbly,https://www.cheese.com/blissful-toppings/
bloomsdale,goat,"soft, artisan, soft-ripened","creamy, runny, soft-ripened",https://www.cheese.com/bloomsdale/
blu__61,cow,"soft, blue-veined","creamy, soft",https://www.cheese.com/blu-61/
blu_della_casera,"cow, sheep","soft, blue-veined",soft,https://www.cheese.com/blu-della-casera/
blu_di_bufala,water buffalo,"semi-firm, artisan, blue-veined","creamy, crumbly",https://www.cheese.com/blu-di-bufala/
blue,plant-based,soft,"creamy, soft-ripened",https://www.cheese.com/vegan-blue/
blue_benedictine,mystery animal,"semi-soft, blue-veined, soft-ripened","buttery, creamy, crumbly, smooth",https://www.cheese.com/blue-benedictine/
blue_castello,cow,soft,"creamy, smooth",https://www.cheese.com/blue-castello/
blue_cheese,"cow, goat, sheep","semi-soft, blue-veined",creamy,https://www.cheese.com/blue-vein-cheese/
blue_clouds,cow,semi-soft,creamy,https://www.cheese.com/blue-clouds/
blue_earth,cow,"soft, artisan, soft-ripened","creamy, runny, smooth, soft",https://www.cheese.com/blue-earth/
blue_ledge_la_luna,goat,"semi-hard, artisan","firm, smooth",https://www.cheese.com/blue-ledge-la-luna/
blue_lupine,goat,"semi-soft, blue-veined","creamy, dense",https://www.cheese.com/blue-lupine/
blue_rathgore,goat,"semi-soft, artisan","creamy, crumbly",https://www.cheese.com/blue-rathgore/
blue_vein_(australian),cow,"semi-soft, blue-veined","creamy, dense",https://www.cheese.com/blue-vein-australian/
blue_wensleydale,cow,"hard, blue-veined",close,https://www.cheese.com/blue-wensleydale/
blue_yonder,cow,"semi-soft, blue-veined",creamy,https://www.cheese.com/blue-yonder/
bluebell,cow,semi-soft,soft,https://www.cheese.com/bluebell/
bluebell_falls_cygnus,goat,"fresh soft, artisan","creamy, smooth",https://www.cheese.com/bluebell-falls-cygnus/
blythedale_camembert_vermont™,cow,"soft, artisan","creamy, dense",https://www.cheese.com/blythedale-camembert/
bocconcini,"cow, goat, water buffalo","semi-soft, brined",creamy,https://www.cheese.com/bocconcini/
boeren-leidse_met_sleutels,cow,"hard, artisan","crumbly, firm",https://www.cheese.com/boeren-leidse-met-sleutels/
bohemian_blue,sheep,"firm, artisan","creamy, crumbly, dry",https://www.cheese.com/bohemian-blue/
boivin_extra_aged_cheddar,cow,hard,"firm, smooth",https://www.cheese.com/boivin-extra-aged-cheddar/
boivin_marbled_cheddar,cow,"semi-soft, processed","firm, smooth",https://www.cheese.com/boivin-marbled-cheddar/
boivin_medium_cheddar,cow,semi-hard,"firm, smooth",https://www.cheese.com/boivin-medium-cheddar/
bonchester,cow,"soft, artisan","close, smooth",https://www.cheese.com/bonchester/
bonifaz,cow,soft,"creamy, soft",https://www.cheese.com/bonifaz/
bonne_bouche,goat,soft,"creamy, fluffy, smooth",https://www.cheese.com/bonne-bouche/
boo_boo_baby_swiss,cow,"hard, artisan","crumbly, firm, open",https://www.cheese.com/boo-boo-baby-swiss/
bootlegger,"cow, sheep","hard, artisan","crumbly, firm",https://www.cheese.com/bootlegger/
bossa,sheep,"semi-soft, artisan","creamy, firm, spreadable",https://www.cheese.com/bossa/
bosworth,goat,"soft, artisan",crumbly,https://www.cheese.com/bosworth/
bothwell_black_truffle_cheddar,cow,semi-hard,firm,https://www.cheese.com/bothwell-black-truffle-cheddar/
bougon,goat,"soft, artisan",firm,https://www.cheese.com/bougon/
boulder_chevre,goat,"semi-soft, artisan","creamy, crumbly, firm",https://www.cheese.com/boulder-chevre/
boule_du_roves,goat,"soft, artisan",creamy,https://www.cheese.com/boule-du-roves/
boulette_d_avesnes,cow,fresh soft,"creamy, smooth",https://www.cheese.com/boulette-davesnes/
bouncing_berry,cow,hard,creamy,https://www.cheese.com/bouncing-berry/
bourdin_goat_log,goat,soft,"creamy, soft",https://www.cheese.com/bourdin-goat-log/
boursault,cow,"soft, soft-ripened","creamy, spreadable",https://www.cheese.com/boursault/
boursin,cow,"soft, processed","creamy, crumbly, spreadable",https://www.cheese.com/boursin/
bouyguette,goat,fresh soft,"creamy, crumbly, soft",https://www.cheese.com/bouyguette/
bouyssou,cow,soft,mystery texture,https://www.cheese.com/bouyssou/
boyne_valley_bán,goat,hard,"creamy, crumbly",https://www.cheese.com/boyne-valley-ban/
bra_duro_dop,cow,hard,firm,https://www.cheese.com/bra/
braudostur,cow,semi-hard,mystery texture,https://www.cheese.com/braudostur/
breakfast_cheese,cow,"fresh firm, soft-ripened","dense, firm",https://www.cheese.com/breakfast-cheese/
brebirousse_d_argental,sheep,soft,"creamy, smooth",https://www.cheese.com/brebirousse-dargental/
brebis_d_azure,sheep,"semi-hard, artisan, blue-veined",soft,https://www.cheese.com/brebis-dazure/
brebis_du_lavort,sheep,"semi-hard, artisan","creamy, open",https://www.cheese.com/brebis-du-lavort/
brebis_du_puyfaucon,sheep,"soft, artisan",smooth,https://www.cheese.com/brebis-du-puyfaucon/
bree,plant-based,soft,"creamy, soft-ripened",https://www.cheese.com/vegan-bree/
brefu_bach,sheep,soft,soft,https://www.cheese.com/brefu-bach/
bresse_bleu,cow,"soft, blue-veined",creamy,https://www.cheese.com/bresse-bleu/
brewer_s_gold,cow,"semi-soft, artisan",creamy,https://www.cheese.com/brewers-gold/
brick,cow,"semi-hard, smear-ripened","open, smooth",https://www.cheese.com/brick/
brick_lane_bree,plant-based,soft,"buttery, creamy, gooey, soft",https://www.cheese.com/vegan-brick-lane-bree-cheese/
bridgewater,cow,"soft, soft-ripened","creamy, soft-ripened",https://www.cheese.com/bridgewater/
brie,cow,"soft, artisan","buttery, soft-ripened",https://www.cheese.com/brie/
brie_au_poivre_(brie_with_pepper),cow,"soft, soft-ripened",creamy,https://www.cheese.com/brie-au-poivre-brie-with-pepper/
brie_coco,cow,"soft, soft-ripened","buttery, creamy, smooth, soft-ripened",https://www.cheese.com/brie-coco/
brie_d_alexis,cow,"soft, soft-ripened","buttery, creamy, supple",https://www.cheese.com/brie-dalexis/
brie_de_meaux,cow,"soft, artisan, soft-ripened","creamy, smooth",https://www.cheese.com/brie-de-meaux/
